Column1;Date;Open;High;Low;Close;Volume;Currency;IS
1;04/01/2002;3641.08;3671.5;3640.0;3671.5;0;MAD;516.5954342469921
2;07/01/2002;3670.56;3674.71;3662.56;3667.3;0;MAD;511.35074100820475
3;08/01/2002;3655.56;3657.54;3639.32;3641.65;0;MAD;517.0334101276375
4;09/01/2002;3637.89;3645.03;3627.77;3644.19;0;MAD;517.8633922291629
5;10/01/2002;3641.2;3658.09;3641.2;3658.01;0;MAD;516.4610807213268
6;14/01/2002;3654.13;3658.83;3648.37;3649.28;0;MAD;517.3427006972543
7;15/01/2002;3644.54;3648.04;3638.75;3644.51;0;MAD;517.3230876109316
8;16/01/2002;3646.53;3670.83;3643.99;3669.65;0;MAD;517.320483545988
9;17/01/2002;3665.76;3676.84;3665.76;3675.75;0;MAD;517.3342433072007
10;18/01/2002;3682.3;3689.8;3678.26;3689.57;0;MAD;519.9467875994546
11;21/01/2002;3682.05;3684.55;3678.31;3678.31;0;MAD;520.626642370676
12;22/01/2002;3678.26;3680.98;3669.87;3676.4;0;MAD;524.0970109909268
13;23/01/2002;3667.89;3676.77;3661.55;3675.41;0;MAD;522.8620809563139
14;24/01/2002;3664.37;3678.23;3653.72;3676.21;0;MAD;526.1033082218654
15;25/01/2002;3678.73;3696.63;3678.73;3694.92;0;MAD;532.3693158187223
16;28/01/2002;3681.56;3697.12;3681.56;3689.76;0;MAD;532.8796269037334
17;29/01/2002;3692.1;3695.27;3682.46;3683.83;0;MAD;530.7367025401709
18;30/01/2002;3673.45;3683.61;3672.35;3672.35;0;MAD;531.1554397008028
19;31/01/2002;3664.87;3675.32;3660.43;3675.32;0;MAD;532.8169249305377
20;01/02/2002;3673.53;3690.99;3673.53;3684.23;0;MAD;535.7208969401077
21;04/02/2002;3685.97;3686.38;3678.79;3678.79;0;MAD;536.4043920077271
22;05/02/2002;3665.04;3669.46;3664.07;3664.07;0;MAD;535.0317635062291
23;06/02/2002;3649.78;3674.02;3649.78;3660.96;0;MAD;534.8773597147064
24;07/02/2002;3652.15;3658.75;3637.01;3637.01;0;MAD;536.1802082250479
25;08/02/2002;3630.16;3630.87;3617.76;3630.87;0;MAD;532.0359691039745
26;11/02/2002;3614.2;3615.88;3605.76;3607.76;0;MAD;528.528290889337
27;12/02/2002;3595.72;3635.85;3595.72;3632.31;0;MAD;533.8281448605555
28;13/02/2002;3623.03;3629.75;3621.15;3629.68;0;MAD;538.5979054100808
29;14/02/2002;3623.02;3629.39;3622.31;3622.9;0;MAD;535.4003481521877
30;15/02/2002;3619.63;3636.53;3619.63;3636.53;0;MAD;531.0372949797061
31;18/02/2002;3633.48;3638.85;3632.89;3634.79;0;MAD;527.3442677423802
32;19/02/2002;3633.47;3635.54;3621.39;3626.05;0;MAD;523.3787718914965
33;20/02/2002;3623.02;3628.01;3618.8;3628.01;0;MAD;522.5327605314541
34;21/02/2002;3627.47;3631.93;3625.92;3627.97;0;MAD;522.7549704307805
35;22/02/2002;3626.74;3627.3;3623.17;3626.35;0;MAD;522.5531989642558
36;26/02/2002;3626.19;3627.04;3623.1;3627.04;0;MAD;521.1910151852014
37;27/02/2002;3625.85;3632.18;3621.98;3631.73;0;MAD;521.7497031215686
38;28/02/2002;3633.34;3636.35;3632.69;3635.57;0;MAD;520.8058324315593
39;01/03/2002;3635.54;3649.45;3633.25;3649.36;0;MAD;524.9074663590088
40;04/03/2002;3638.64;3663.64;3638.64;3653.35;0;MAD;525.6051764102511
41;05/03/2002;3651.94;3655.34;3644.29;3646.02;0;MAD;525.63530474118
42;06/03/2002;3644.15;3647.9;3641.64;3647.61;0;MAD;527.8171136540599
43;07/03/2002;3644.37;3657.45;3644.37;3655.75;0;MAD;527.6314852763483
44;08/03/2002;3649.08;3661.27;3643.81;3661.27;0;MAD;526.0515086804273
45;11/03/2002;3657.84;3659.42;3653.85;3657.17;0;MAD;527.9434055062478
46;12/03/2002;3652.8;3655.25;3649.35;3650.96;0;MAD;532.0514046110503
47;13/03/2002;3641.39;3654.59;3641.39;3654.59;0;MAD;530.5439866006398
48;14/03/2002;3647.91;3672.77;3647.91;3662.64;0;MAD;533.2226444342491
49;15/03/2002;3652.41;3652.41;3652.41;3652.41;0;MAD;528.0748177112365
50;18/03/2002;3635.78;3644.5;3635.78;3644.16;0;MAD;520.3857476466202
51;19/03/2002;3641.68;3665.68;3637.67;3665.68;0;MAD;515.6137752446558
52;20/03/2002;3662.49;3682.0;3662.49;3682.0;0;MAD;510.52417100623927
53;21/03/2002;3669.23;3671.07;3659.47;3665.22;0;MAD;504.8224153479507
