Date,Open,High,Low,Close,Volume,Currency
2002-01-03,3684.51,3694.96,3640.0,3640.0,0,MAD
2002-01-04,3641.08,3671.5,3640.0,3671.5,0,MAD
2002-01-07,3670.56,3674.71,3662.56,3667.3,0,MAD
2002-01-08,3655.56,3657.54,3639.32,3641.65,0,MAD
2002-01-09,3637.89,3645.03,3627.77,3644.19,0,MAD
2002-01-10,3641.2,3658.09,3641.2,3658.01,0,MAD
2002-01-14,3654.13,3658.83,3648.37,3649.28,0,MAD
2002-01-15,3644.54,3648.04,3638.75,3644.51,0,MAD
2002-01-16,3646.53,3670.83,3643.99,3669.65,0,MAD
2002-01-17,3665.76,3676.84,3665.76,3675.75,0,MAD
2002-01-18,3682.3,3689.8,3678.26,3689.57,0,MAD
2002-01-21,3682.05,3684.55,3678.31,3678.31,0,MAD
2002-01-22,3678.26,3680.98,3669.87,3676.4,0,MAD
2002-01-23,3667.89,3676.77,3661.55,3675.41,0,MAD
2002-01-24,3664.37,3678.23,3653.72,3676.21,0,MAD
2002-01-25,3678.73,3696.63,3678.73,3694.92,0,MAD
2002-01-28,3681.56,3697.12,3681.56,3689.76,0,MAD
2002-01-29,3692.1,3695.27,3682.46,3683.83,0,MAD
2002-01-30,3673.45,3683.61,3672.35,3672.35,0,MAD
2002-01-31,3664.87,3675.32,3660.43,3675.32,0,MAD
2002-02-01,3673.53,3690.99,3673.53,3684.23,0,MAD
2002-02-04,3685.97,3686.38,3678.79,3678.79,0,MAD
2002-02-05,3665.04,3669.46,3664.07,3664.07,0,MAD
2002-02-06,3649.78,3674.02,3649.78,3660.96,0,MAD
2002-02-07,3652.15,3658.75,3637.01,3637.01,0,MAD
2002-02-08,3630.16,3630.87,3617.76,3630.87,0,MAD
2002-02-11,3614.2,3615.88,3605.76,3607.76,0,MAD
2002-02-12,3595.72,3635.85,3595.72,3632.31,0,MAD
2002-02-13,3623.03,3629.75,3621.15,3629.68,0,MAD
2002-02-14,3623.02,3629.39,3622.31,3622.9,0,MAD
2002-02-15,3619.63,3636.53,3619.63,3636.53,0,MAD
2002-02-18,3633.48,3638.85,3632.89,3634.79,0,MAD
2002-02-19,3633.47,3635.54,3621.39,3626.05,0,MAD
2002-02-20,3623.02,3628.01,3618.8,3628.01,0,MAD
2002-02-21,3627.47,3631.93,3625.92,3627.97,0,MAD
2002-02-22,3626.74,3627.3,3623.17,3626.35,0,MAD
2002-02-26,3626.19,3627.04,3623.1,3627.04,0,MAD
2002-02-27,3625.85,3632.18,3621.98,3631.73,0,MAD
2002-02-28,3633.34,3636.35,3632.69,3635.57,0,MAD
2002-03-01,3635.54,3649.45,3633.25,3649.36,0,MAD
2002-03-04,3638.64,3663.64,3638.64,3653.35,0,MAD
2002-03-05,3651.94,3655.34,3644.29,3646.02,0,MAD
2002-03-06,3644.15,3647.9,3641.64,3647.61,0,MAD
2002-03-07,3644.37,3657.45,3644.37,3655.75,0,MAD
