Date,Open,High,Low,Close,Volume,Currency
2009-01-02,10984.29,10944.24,10518.07,10576.98,0,MAD
2009-01-05,10576.98,10585.35,10094.84,10094.84,0,MAD
2009-01-06,10094.03,10094.03,9697.59,9765.89,0,MAD
2009-01-07,9761.65,9792.19,9528.19,9571.81,0,MAD
2009-01-08,9571.81,9571.81,9367.53,9405.86,0,MAD
2009-01-09,9442.52,9680.74,9442.52,9589.3,0,MAD
2009-01-12,9693.89,9737.43,9532.75,9548.8,0,MAD
2009-01-13,9505.33,9567.09,9471.43,9567.09,0,MAD
2009-01-14,9509.9,9685.57,9486.98,9666.65,0,MAD
2009-01-15,9705.86,9837.51,9691.01,9837.51,0,MAD
2009-01-16,9920.59,9943.23,9835.35,9929.98,0,MAD
2009-01-19,9906.64,9978.19,9891.45,9915.19,0,MAD
2009-01-20,9912.94,9998.9,9912.94,9998.9,0,MAD
2009-01-21,9994.55,10009.35,9878.97,9924.8,0,MAD
2009-01-22,9923.02,10012.81,9888.39,10012.81,0,MAD
2009-01-23,10012.33,10012.33,9879.35,9979.21,0,MAD
2009-01-26,10009.96,10051.58,9912.42,10007.2,0,MAD
2009-01-27,9977.44,10063.84,9910.93,10063.84,0,MAD
2009-01-28,10036.88,10125.32,10012.2,10080.56,0,MAD
2009-01-29,10061.57,10105.88,10003.93,10089.31,0,MAD
2009-01-30,10075.8,10146.41,10068.37,10133.32,0,MAD
2009-02-02,10137.85,10181.98,10082.37,10082.67,0,MAD
2009-02-03,10063.58,10213.92,10063.58,10184.72,0,MAD
2009-02-04,10184.41,10257.73,10184.41,10198.84,0,MAD
2009-02-05,10163.61,10194.26,9994.27,10007.65,0,MAD
2009-02-06,9933.35,10045.9,9907.83,10010.21,0,MAD
2009-02-09,10009.78,10094.2,9987.09,10077.15,0,MAD
2009-02-10,10078.5,10163.79,10041.51,10151.68,0,MAD
2009-02-11,10156.13,10233.67,10156.13,10202.02,0,MAD
2009-02-12,10211.59,10273.14,10211.59,10273.14,0,MAD
2009-02-13,10279.06,10352.81,10223.88,10352.81,0,MAD
2009-02-16,10343.78,10354.36,10296.92,10345.22,0,MAD
2009-02-17,10347.42,10459.87,10326.09,10459.87,0,MAD
2009-02-18,10459.2,10653.65,10459.2,10620.51,0,MAD
2009-02-19,10618.62,10758.47,10618.62,10695.65,0,MAD
2009-02-20,10698.88,10816.77,10698.88,10725.66,0,MAD
