Séance;VOLUME MC;VOLUME MB;VOLUME INTRODUCTIONS;VOLUME_OFFRES PUBLIQUES;VOLUME TRANSFERTS;VOLUME APPORTS;VOLUME AUG CAPITAL;TOTAL
31/12/2002;118581694,5;1004845;0;0;0;0;0;119586539,5
30/12/2002;36986004,5;2200762145;0;0;0;0;0;2237748150
27/12/2002;54377420,67;1315314929;0;0;141250;0;0;1369833600
26/12/2002;26054719,1;811846751;0;0;272895;0;0;838174365,1
25/12/2002;13314085,46;602000;0;0;0;0;0;13916085,46
24/12/2002;9034647,32;1024558;0;0;11373;0;0;10070578,32
23/12/2002;16532325,95;1174750;0;0;32815;0;0;17739890,95
20/12/2002;17150381,6;573680;0;0;1507656,6;0;0;19231718,2
19/12/2002;8258170,5;0;0;0;0;0;0;8258170,5
18/12/2002;15176435,9;0;0;0;0;0;0;15176435,9
17/12/2002;11225022,5;0;0;0;0;0;0;11225022,5
16/12/2002;9229339,4;300000;0;0;0;0;0;9529339,4
13/12/2002;4651753,5;0;0;0;0;0;0;4651753,5
12/12/2002;9179777;0;0;0;0;0;0;9179777
11/12/2002;7349464,9;1432488;0;0;0;0;0;8781952,9
10/12/2002;4702713,07;0;0;0;0;0;0;4702713,07
09/12/2002;3464214,75;388000;0;0;0;0;0;3852214,75
05/12/2002;5883984,25;0;0;0;0;0;0;5883984,25
04/12/2002;1261626,6;52920000;0;0;0;0;0;54181626,6
03/12/2002;5880545,94;0;0;0;0;0;0;5880545,94
02/12/2002;7156055,67;0;0;0;0;0;0;7156055,67
29/11/2002;225001596,3;0;0;0;0;0;0;225001596,3
28/11/2002;64533059,55;2592170;0;0;36312;0;0;67161541,55
27/11/2002;56348406,12;0;0;0;0;0;0;56348406,12
26/11/2002;5373527,85;0;0;0;64400;0;0;5437927,85
25/11/2002;8291166,1;4356000;0;0;0;0;0;12647166,1
22/11/2002;9436477,65;0;0;0;0;0;0;9436477,65
21/11/2002;16860729,6;0;0;0;2340;0;0;16863069,6
20/11/2002;12279781,2;0;0;0;0;0;0;12279781,2
19/11/2002;5831304;0;0;0;79605;0;0;5910909
15/11/2002;9671500,44;0;0;0;0;0;0;9671500,44
14/11/2002;7535018,8;0;0;0;0;0;0;7535018,8
13/11/2002;4867308,2;377000;0;0;193380;0;0;5437688,2
12/11/2002;4316373,18;0;0;0;0;0;0;4316373,18
11/11/2002;5540173,2;0;0;0;36944,4;0;0;5577117,6
08/11/2002;10584258,5;0;0;0;0;0;0;10584258,5
07/11/2002;4062230,4;0;0;0;0;0;0;4062230,4
05/11/2002;6815182,1;0;0;0;0;0;0;6815182,1
04/11/2002;3437053,1;0;0;0;0;0;0;3437053,1
01/11/2002;9874339,2;450000;0;0;0;0;0;10324339,2
31/10/2002;9936425,8;7799588,75;0;0;8548,8;0;0;17744563,35
30/10/2002;12444016,82;0;0;0;0;0;0;12444016,82
29/10/2002;3069780,9;71200;0;0;58400;0;0;3199380,9
28/10/2002;10289468,89;169940000;0;0;0;0;0;180229468,9
25/10/2002;61478738,47;738448;0;0;1151934,7;0;0;63369121,17
24/10/2002;7191022,84;1539116;0;0;0;0;0;8730138,84
23/10/2002;6665261,22;761760;0;0;0;0;0;7427021,22
22/10/2002;7551349;194200;0;0;573300;0;0;8318849
21/10/2002;4572962,34;0;0;0;0;0;0;4572962,34
18/10/2002;3717587,88;0;0;0;25176;0;0;3742763,88
17/10/2002;8972573,1;755000;0;0;0;0;0;9727573,1
16/10/2002;7503570,5;0;0;0;0;0;0;7503570,5
15/10/2002;6697008,99;548430;0;0;0;0;0;7245438,99
14/10/2002;6991086,8;0;0;0;0;0;0;6991086,8
11/10/2002;6400838,05;2540408;0;0;0;0;0;8941246,05
