indicator,calculation_time_in_seconds
AccumulationDistributionLine,0.0
AverageTrueRange,0.02
BollingerBands,0.0
ChaikinMoneyFlow,0.03
ChaikinOscillator,0.0
ChandeMomentumOscillator,0.02
CommodityChannelIndex,0.85
DetrendedPriceOscillator,0.0
DirectionalMovementIndex,0.48
DoubleExponentialMovingAverage,0.02
EaseOfMovement,0.0
Envelopes,0.0
FibonacciRetracement,0.02
ForecastOscillator,0.27
IchimokuCloud,0.02
IntradayMomentumIndex,0.02
KlingerOscillator,0.05
LinearRegressionIndicator,0.25
LinearRegressionSlope,0.02
MarketFacilitationIndex,0.0
MassIndex,0.02
MedianPrice,0.0
Momentum,0.02
MovingAverage (simple),0.0
MovingAverage (exponential),0.0
MovingAverage (time_series),0.27
MovingAverage (triangular),0.0
MovingAverage (variable),0.36
MovingAverageConvergenceDivergence,0.02
NegativeVolumeIndex,0.19
OnBalanceVolume,0.02
ParabolicSAR,0.17
Performance,0.0
PositiveVolumeIndex,0.19
PriceAndVolumeTrend,0.2
PriceChannel,0.02
PriceOscillator,0.0
PriceRateOfChange,0.02
ProjectionBands,0.95
ProjectionOscillator,0.99
Qstick,0.0
RangeIndicator,0.17
RelativeMomentumIndex,0.27
RelativeStrengthIndex,0.33
RelativeVolatilityIndex,0.52
StandardDeviation,0.02
StochasticMomentumIndex,0.0
StochasticOscillator (fast),0.02
StochasticOscillator (slow),0.02
SwingIndex,0.02
TimeSeriesForecast,0.28
TripleExponentialMovingAverage,0.0
TypicalPrice,0.0
UltimateOscillator,0.03
VerticalHorizontalFilter,0.02
VolatilityChaikins,0.02
VolumeOscillator,0.0
VolumeRateOfChange,0.0
WeightedClose,0.02
WildersSmoothing,0.12
WilliamsAccumulationDistribution,0.02
WilliamsR,0.0
