date,Value,Low,High,Variation (%),Volume
29/05/2017,272.3,272.3,273.0,-0.26,313005
30/05/2017,271.7,271.5,271.7,-0.22,7925
31/05/2017,272.0,272.0,273.0,0.11,7963
01/06/2017,272.0,272.0,273.0,0.0,5458
02/06/2017,271.0,270.6,272.0,-0.37,37358
05/06/2017,272.15,270.5,272.15,0.42,112022
06/06/2017,280.0,272.3,280.0,2.88,64505
07/06/2017,292.1,285.0,295.0,4.32,471560
08/06/2017,291.0,286.15,295.0,-0.38,37461
09/06/2017,291.0,282.0,292.7,0.0,86765
12/06/2017,287.0,283.0,290.0,-1.37,6333
13/06/2017,288.4,277.05,288.4,0.49,3590
14/06/2017,286.0,286.0,287.0,-0.83,14541
15/06/2017,284.5,283.15,287.9,-0.52,9354
16/06/2017,287.0,280.0,287.9,0.88,2262
19/06/2017,290.0,280.55,290.0,1.05,76436
20/06/2017,292.0,270.0,319.0,0.69,53237
21/06/2017,291.5,290.0,294.0,-0.17,102957
22/06/2017,295.0,291.5,295.0,1.2,17203
23/06/2017,297.5,295.0,300.0,0.85,112995
28/06/2017,299.8,297.55,302.0,0.77,49056
29/06/2017,295.05,295.05,298.0,-1.58,18605
30/06/2017,290.05,290.05,298.0,-1.69,18844
03/07/2017,292.0,290.4,297.0,0.67,2039
04/07/2017,296.95,294.0,297.0,1.7,1250
05/07/2017,301.0,295.5,301.5,1.36,7463
06/07/2017,300.0,298.5,300.3,1.69,114205
07/07/2017,303.9,300.05,303.9,1.3,37920
10/07/2017,301.0,300.0,305.0,-0.95,31636
11/07/2017,303.0,301.5,303.0,0.66,7088
12/07/2017,303.0,301.0,303.9,0.0,12600
13/07/2017,302.0,302.0,306.0,-0.33,24089
14/07/2017,298.0,298.0,302.0,-1.32,18293
17/07/2017,298.5,298.5,302.0,0.17,22859
18/07/2017,298.6,298.15,301.0,0.03,39505
19/07/2017,295.0,295.0,298.35,-1.21,8709
20/07/2017,290.0,290.0,291.2,-1.69,21747
21/07/2017,288.6,288.1,290.5,-0.48,61121
